room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
10815312,5386182,Entire home/apt,CENTRE,HILLHURST,10,4,2,1,54
5729814,28413707,Entire home/apt,CENTRE,EAU CLAIRE,3,4.5,3,2,130
16271748,19867960,Shared room,NORTHWEST,UNIVERSITY HEIGHTS,5,5,3,1,13
11907990,5244400,Entire home/apt,CENTRE,DOWNTOWN WEST END,4,4,2,1,69
17821614,79137940,Private room,NORTHWEST,ROYAL OAK,6,5,4,2,25
9495732,44967066,Private room,CENTRE,BELTLINE,6,5,2,1,40
13543319,12352628,Private room,SOUTHEAST,OGDEN,3,5,4,1,31
18734999,26864923,Entire home/apt,CENTRE,BELTLINE,3,4.5,2,1,122
15974870,61460167,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,53,4.5,4,1,48
17906764,122725887,Private room,NORTH,PANORAMA HILLS,3,5,3,1,40
2625500,6083212,Private room,EAST,PENBROOKE MEADOWS,71,5,1,1,28
18228092,17096401,Entire home/apt,NORTH,COUNTRY HILLS VILLAGE,3,5,7,3,122
12507948,64056982,Entire home/apt,NORTHWEST,BRENTWOOD,4,5,4,2,80
14284213,87174529,Entire home/apt,CENTRE,BELTLINE,89,5,4,1,73
12404504,39255347,Private room,CENTRE,SUNNYSIDE,81,5,2,1,29
11455637,38602460,Entire home/apt,NORTHEAST,CITYSCAPE,14,5,8,3,163
17668365,99250242,Entire home/apt,NORTH,HUNTINGTON HILLS,8,4.5,10,5,146
1393927,5161218,Private room,NORTH,THORNCLIFFE,243,5,2,1,29
16912690,16139941,Entire home/apt,SOUTH,MAPLE RIDGE,26,5,2,1,33
5395107,27715982,Entire home/apt,CENTRE,SUNNYSIDE,78,5,4,1,53
13417040,74706543,Entire home/apt,WEST,ASPEN WOODS,6,4.5,4,2,121
9507022,49265783,Private room,NORTHEAST,MARLBOROUGH PARK,37,5,3,1,25
6121832,3596374,Entire home/apt,CENTRE,MISSION,8,5,3,2,78
18768584,129259070,Private room,SOUTH,FAIRVIEW,4,5,2,1,29
4678609,9645052,Private room,CENTRE,SUNALTA,13,5,2,1,65
19436519,27191742,Private room,CENTRE,MANCHESTER,6,5,2,1,40
6104024,31672058,Entire home/apt,CENTRE,MOUNT PLEASANT,89,5,4,0,53
16544912,12365039,Entire home/apt,CENTRE,EAU CLAIRE,3,3.5,2,1,87
18652597,14698005,Entire home/apt,CENTRE,INGLEWOOD,3,5,3,1,42
19789954,73064756,Private room,NORTH,BEDDINGTON HEIGHTS,6,5,2,1,31
12485034,53049133,Entire home/apt,CENTRE,CHINATOWN,38,4.5,7,2,142
19518408,92550173,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,5,5,4,2,72
4211477,7814189,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,60,5,2,1,57
15466795,99250242,Entire home/apt,NORTH,HUNTINGTON HILLS,3,4.5,4,2,48
6628555,16645415,Private room,CENTRE,HILLHURST,3,5,2,1,23
19710007,140077060,Entire home/apt,CENTRE,CLIFF BUNGALOW,5,5,2,1,90
15918122,2730294,Entire home/apt,SOUTH,QUEENSLAND,4,5,6,3,117
13534765,32020782,Entire home/apt,CENTRE,BANKVIEW,8,5,4,1,80
12905371,24531425,Entire home/apt,CENTRE,TUXEDO PARK,171,5,4,1,60
16999604,54429663,Entire home/apt,CENTRE,MISSION,3,4.5,2,2,65
16081335,95617232,Entire home/apt,SOUTH,WOODBINE,18,4.5,14,7,170
9590912,24709355,Entire home/apt,WEST,GLAMORGAN,90,4.5,3,2,60
19275375,72777929,Entire home/apt,CENTRE,BELTLINE,9,5,4,1,107
17076199,89613750,Private room,NORTH,THORNCLIFFE,9,4,2,1,29
2987618,11191168,Entire home/apt,CENTRE,CLIFF BUNGALOW,37,5,2,1,65
18058526,124296403,Entire home/apt,CENTRE,BANKVIEW,8,4.5,3,1,65
19752731,73686595,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,12,5,5,1,80
3569573,17769677,Private room,CENTRE,BELTLINE,43,4.5,2,1,25
13543356,49370547,Private room,CENTRE,KILLARNEY/GLENGARRY,27,5,2,1,40
8616270,35831749,Entire home/apt,CENTRE,CHINATOWN,40,5,2,0,98
14852438,92979926,Private room,NORTHWEST,CHARLESWOOD,11,4,2,1,22
17300762,73583248,Private room,NORTHWEST,VARSITY,13,5,2,1,22
17074684,114547717,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,45,5,5,2,113
18528208,22125334,Entire home/apt,CENTRE,SUNNYSIDE,13,4.5,5,2,89
17301519,73583248,Private room,NORTHWEST,VARSITY,17,5,2,1,19
12138032,65159556,Entire home/apt,CENTRE,BELTLINE,33,4.5,5,2,101
13045887,67652539,Private room,NORTHEAST,TEMPLE,9,5,2,1,40
2753744,12115056,Private room,CENTRE,UPPER MOUNT ROYAL,15,4.5,6,2,87
14088992,31114021,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,26,5,5,2,56
3962950,3730464,Private room,CENTRE,PARKDALE,34,4.5,1,1,21
14523219,49708974,Entire home/apt,NORTH,HARVEST HILLS,4,5,4,2,80
13698618,79885510,Entire home/apt,CENTRE,GARRISON WOODS,3,5,6,3,163
7681453,34320309,Entire home/apt,CENTRE,BANFF TRAIL,25,4.5,2,1,35
11514992,60690676,Private room,SOUTHEAST,DOUGLASDALE/GLEN,9,4,2,1,47
6883745,36069573,Private room,CENTRE,BELTLINE,14,4.5,2,1,49
2844445,2892047,Entire home/apt,NORTHWEST,BRENTWOOD,35,4.5,4,1,61
16983075,113680501,Entire home/apt,CENTRE,MOUNT PLEASANT,5,5,6,2,74
19731164,83993165,Private room,NORTHEAST,SKYVIEW RANCH,8,5,2,1,36
19161018,64583634,Private room,SOUTH,SHAWNESSY,6,4.5,4,2,36
16245010,60246786,Private room,CENTRE,DOWNTOWN EAST VILLAGE,18,4.5,2,1,32
5706291,17563123,Private room,EAST,ALBERT PARK/RADISSON HEIGHTS,4,5,2,1,53
13397379,76227931,Entire home/apt,CENTRE,GARRISON WOODS,17,5,4,1,81
14970326,91864518,Entire home/apt,NORTHEAST,SKYVIEW RANCH,14,5,4,2,57
10987425,51769538,Entire home/apt,NORTHEAST,RUNDLE,13,5,6,2,77
14201593,49370547,Private room,CENTRE,KILLARNEY/GLENGARRY,33,5,4,2,72
10195898,52374414,Private room,CENTRE,HIGHLAND PARK,17,4.5,2,1,22
8568844,23166835,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,54,5,4,1,89
17601459,39482728,Entire home/apt,CENTRE,INGLEWOOD,6,5,6,3,113
14611450,14418013,Private room,CENTRE,RENFREW,26,5,3,1,34
14232342,84767631,Entire home/apt,CENTRE,CLIFF BUNGALOW,45,5,4,1,69
16998765,28223434,Private room,CENTRE,CAPITOL HILL,30,5,2,2,16
14388038,88366836,Private room,WEST,SIGNAL HILL,11,4.5,2,1,29
17686251,120473069,Entire home/apt,CENTRE,BELTLINE,24,4.5,5,2,74
7823538,34901168,Private room,NORTHEAST,SADDLE RIDGE,21,5,4,2,53
8849572,46339530,Private room,SOUTH,SHAWNESSY,6,4.5,2,1,40
12325434,25226678,Entire home/apt,CENTRE,HILLHURST,61,5,2,1,71
1559608,8300376,Entire home/apt,CENTRE,SUNNYSIDE,22,5,4,2,159
9860595,32934376,Entire home/apt,NORTHEAST,MARTINDALE,4,5,4,1,48
10591511,42041887,Entire home/apt,CENTRE,CHINATOWN,35,5,2,1,121
14824851,67745024,Private room,CENTRE,BELTLINE,7,5,2,1,40
19229361,134614265,Entire home/apt,CENTRE,BELTLINE,4,4.5,4,1,81
5749024,11969614,Entire home/apt,WEST,WEST SPRINGS,17,4.5,4,1,44
15778187,74723376,Entire home/apt,CENTRE,HIGHLAND PARK,16,4.5,8,2,68
18499029,64222972,Private room,CENTRE,BELTLINE,17,4.5,2,1,48
14183461,6786977,Entire home/apt,CENTRE,CLIFF BUNGALOW,7,4.5,6,2,163
2455172,12555601,Private room,CENTRE,SOUTH CALGARY,75,5,2,1,43
18731581,51687707,Entire home/apt,SOUTH,ACADIA,5,4.5,4,2,33
19575084,5356443,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,10,5,4,1,72
19556896,65857124,Private room,CENTRE,DOWNTOWN COMMERCIAL CORE,8,4.5,2,1,42
18875666,131520575,Private room,SOUTH,SOMERSET,5,4.5,4,2,36
8175134,43145479,Private room,CENTRE,BELTLINE,9,4.5,1,1,36
13590673,78513614,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,38,5,4,2,129
17904710,23828873,Entire home/apt,WEST,GLENBROOK,10,5,6,4,130
1536286,3703144,Entire home/apt,CENTRE,WEST HILLHURST,51,5,2,1,52
13266245,42076529,Entire home/apt,CENTRE,BELTLINE,5,5,2,1,102
15973205,102628729,Entire home/apt,CENTRE,SUNALTA,7,4.5,2,1,48
5614616,28413707,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,6,5,2,1,77
14895604,20630708,Entire home/apt,CENTRE,INGLEWOOD,4,5,11,4,150
403657,1660555,Private room,WEST,SIGNAL HILL,10,5,1,1,52
16986966,113733191,Entire home/apt,NORTHWEST,BOWNESS,16,4.5,4,2,61
6555986,4422319,Private room,NORTHWEST,VARSITY,10,5,1,1,27
16571708,99199268,Entire home/apt,NORTH,SAGE HILL,10,5,2,1,56
18856458,131366842,Entire home/apt,CENTRE,BELTLINE,3,5,4,2,284
12304538,66344254,Private room,NORTH,PANORAMA HILLS,40,5,2,1,25
8351795,15098443,Private room,CENTRE,RAMSAY,20,5,2,1,53
18507297,14087385,Entire home/apt,CENTRE,ERLTON,23,5,3,2,47
12232228,19537874,Private room,CENTRE,BANFF TRAIL,5,4,1,1,33
14965963,22722712,Private room,NORTHEAST,MARLBOROUGH PARK,39,5,2,1,18
13617634,78850966,Entire home/apt,CENTRE,BELTLINE,39,5,4,2,56
7919785,446925,Private room,CENTRE,CRESCENT HEIGHTS,99,4.5,2,1,34
4531098,1187195,Private room,SOUTH,BRIDLEWOOD,5,5,2,1,36
8141285,29122642,Shared room,EAST,PENBROOKE MEADOWS,40,4.5,1,1,10
5077066,23578299,Entire home/apt,SOUTH,ACADIA,15,5,6,3,243
7788546,25738383,Entire home/apt,NORTHEAST,SKYVIEW RANCH,4,5,4,2,194
11962777,18760796,Private room,EAST,ERIN WOODS,5,5,6,1,53
15377631,98273090,Entire home/apt,CENTRE,BELTLINE,17,4.5,5,2,126
19387576,21816990,Entire home/apt,CENTRE,CAPITOL HILL,3,4.5,8,2,81
19102757,118256696,Private room,SOUTHEAST,AUBURN BAY,3,5,2,1,40
9545839,49435290,Entire home/apt,CENTRE,MISSION,52,4.5,3,0,44
19140661,131520575,Private room,SOUTH,SOMERSET,3,4.5,2,1,25
872180,3471747,Private room,NORTHWEST,BOWNESS,50,4.5,2,1,36
15221503,96728686,Entire home/apt,NORTH,SHERWOOD,25,4.5,3,1,60
12548041,15722524,Entire home/apt,CENTRE,SUNALTA,18,5,2,0,56
14387680,66589980,Entire home/apt,CENTRE,GARRISON WOODS,10,5,4,1,55
6866235,35979215,Private room,CENTRE,BELTLINE,21,5,1,1,48
16176269,105610606,Private room,NORTHWEST,TUSCANY,14,5,2,1,40
16428478,50094536,Private room,WEST,LAKEVIEW,9,4.5,2,1,23
6923591,15349060,Entire home/apt,CENTRE,BELTLINE,18,5,4,2,155
11062783,57417965,Entire home/apt,NORTHWEST,SCENIC ACRES,29,5,6,3,162
1325729,7195272,Private room,WEST,WEST SPRINGS,24,5,3,1,142
16632588,109867173,Private room,CENTRE,KILLARNEY/GLENGARRY,19,5,2,1,33
6914658,34573226,Private room,CENTRE,RENFREW,9,4.5,1,1,25
14885327,4345521,Private room,CENTRE,RAMSAY,25,5,4,1,95
1738043,9837461,Entire home/apt,CENTRE,BELTLINE,152,4.5,2,0,47
2678340,4509302,Entire home/apt,CENTRE,CLIFF BUNGALOW,13,4.5,2,1,53
4564224,10254437,Entire home/apt,CENTRE,BELTLINE,278,5,2,1,80
4304597,8142859,Entire home/apt,CENTRE,INGLEWOOD,89,5,2,0,65
165032,755655,Entire home/apt,CENTRE,SUNALTA,301,5,6,2,61
17559536,24982984,Entire home/apt,CENTRE,CHINATOWN,7,4.5,3,1,47
1268655,6905597,Private room,CENTRE,RAMSAY,7,5,2,1,69
13362784,56421547,Entire home/apt,NORTHWEST,CITADEL,3,4,3,1,65
17583868,85784682,Entire home/apt,NORTH,PANORAMA HILLS,3,4.5,4,4,178
15236458,71036617,Private room,CENTRE,HILLHURST,23,5,2,1,40
1609624,7463897,Private room,SOUTH,SUNDANCE,9,5,1,1,40
2895780,9931937,Entire home/apt,CENTRE,BELTLINE,45,5,2,1,59
5453459,28058969,Private room,NORTHWEST,TUSCANY,15,5,2,1,26
19662189,138433309,Entire home/apt,CENTRE,INGLEWOOD,8,4.5,3,1,44
19327884,99568430,Private room,NORTH,HIDDEN VALLEY,9,5,2,1,22
10864755,27503550,Entire home/apt,WEST,RUTLAND PARK,14,5,4,2,121
7903120,41673651,Private room,SOUTH,BRIDLEWOOD,59,4.5,4,1,36
17304694,116769279,Entire home/apt,CENTRE,TUXEDO PARK,16,5,6,3,138
4437809,23034117,Private room,NORTHWEST,CHARLESWOOD,37,4.5,2,1,33
18756732,44440976,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,10,5,4,2,80
9972763,51245764,Entire home/apt,SOUTHEAST,AUBURN BAY,37,4.5,4,2,62
16482415,6102211,Entire home/apt,CENTRE,BELTLINE,30,5,2,2,66
4936678,923623,Entire home/apt,CENTRE,BELTLINE,8,5,4,1,97
18910635,70424166,Entire home/apt,CENTRE,BELTLINE,4,5,4,2,210
916727,4901293,Entire home/apt,SOUTHEAST,DOUGLASDALE/GLEN,17,5,6,4,146
14740936,22626725,Entire home/apt,EAST,DOVER,18,5,2,1,52
6239587,32386009,Entire home/apt,NORTHEAST,TARADALE,95,4.5,5,3,85
15644158,68073273,Entire home/apt,CENTRE,WEST HILLHURST,31,5,14,5,136
18609546,129253412,Entire home/apt,CENTRE,RENFREW,3,4.5,4,2,174
19011577,100203204,Entire home/apt,NORTHWEST,CITADEL,3,4.5,8,4,142
13064303,31480482,Entire home/apt,WEST,PATTERSON,11,4.5,4,2,118
14902452,92472403,Entire home/apt,CENTRE,BELTLINE,3,4.5,4,1,74
18250461,47519209,Entire home/apt,NORTHWEST,HAMPTONS,5,4.5,6,3,122
16165563,78516578,Entire home/apt,WEST,SPRINGBANK HILL,34,5,8,2,121
12885616,6529950,Entire home/apt,EAST,SOUTHVIEW,20,5,4,1,53
6403979,33398614,Private room,EAST,ALBERT PARK/RADISSON HEIGHTS,5,5,2,1,52
5347728,27715982,Entire home/apt,NORTHWEST,EDGEMONT,3,4.5,10,4,122
16342433,12668950,Entire home/apt,CENTRE,BANKVIEW,28,5,3,0,57
6209372,30987880,Private room,NORTH,HIDDEN VALLEY,20,4.5,2,1,53
19675992,40751171,Private room,NORTHWEST,SILVER SPRINGS,10,5,2,1,27
564500,2775727,Entire home/apt,CENTRE,LOWER MOUNT ROYAL,94,5,3,2,163
16751883,106447606,Entire home/apt,WEST,GLENBROOK,17,4.5,7,3,80
17016686,49755991,Entire home/apt,CENTRE,SUNNYSIDE,7,5,2,1,44
13299907,27715982,Entire home/apt,CENTRE,CRESCENT HEIGHTS,11,4.5,4,1,48
19228952,76476715,Shared room,EAST,DOVER,6,4.5,1,1,12
6834495,35807078,Entire home/apt,CENTRE,RICHMOND,14,4.5,6,3,202
19701990,67666401,Entire home/apt,NORTH,SHERWOOD,4,5,6,2,61
15940669,75838336,Private room,CENTRE,BANFF TRAIL,6,4.5,2,1,29
19752481,122059646,Private room,NORTHWEST,DALHOUSIE,3,5,2,1,36
7130494,37344881,Private room,CENTRE,TUXEDO PARK,32,5,4,1,57
4862135,1583090,Entire home/apt,WEST,STRATHCONA PARK,3,5,4,3,57
908524,4869295,Private room,SOUTH,KINGSLAND,31,4.5,2,1,25
16567250,109131200,Entire home/apt,NORTH,COVENTRY HILLS,28,5,3,1,36
19344266,53121940,Private room,CENTRE,BRIDGELAND/RIVERSIDE,6,5,2,1,44
10636356,9534122,Entire home/apt,SOUTH,SUNDANCE,11,5,10,4,162
14030636,84009448,Entire home/apt,EAST,ALBERT PARK/RADISSON HEIGHTS,39,5,4,2,61
4235259,12365039,Entire home/apt,CENTRE,BELTLINE,6,3.5,4,2,145
7581561,39754086,Entire home/apt,SOUTH,SILVERADO,6,4.5,8,2,58
18947455,132096229,Private room,NORTHWEST,EDGEMONT,4,5,1,1,25
17669973,33598786,Entire home/apt,CENTRE,WINSTON HEIGHTS/MOUNTVIEW,4,5,9,5,345
15371958,98197495,Entire home/apt,NORTHWEST,BOWNESS,10,5,8,3,160
16393804,12365039,Entire home/apt,CENTRE,BELTLINE,3,4.5,4,2,105
7696570,12365039,Entire home/apt,CENTRE,BELTLINE,3,3,4,2,113
16275930,80368247,Private room,NORTHWEST,TUSCANY,4,5,6,2,37
3301647,16673542,Private room,CENTRE,PARKDALE,62,5,2,1,60
14406891,19177507,Entire home/apt,NORTHEAST,RUNDLE,19,5,2,1,65
17771062,111816977,Entire home/apt,CENTRE,BELTLINE,11,5,4,2,72
19734290,94862807,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,3,5,2,1,81
16289834,93054398,Entire home/apt,CENTRE,BELTLINE,74,5,2,1,90
19192889,16422759,Entire home/apt,CENTRE,BELTLINE,11,4.5,4,2,80
15176309,44201339,Private room,NORTHWEST,SCENIC ACRES,5,4.5,2,1,36
9605984,7271195,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,26,5,4,1,74
15869906,102877310,Private room,NORTHWEST,DALHOUSIE,14,5,1,1,29
1344439,387509,Entire home/apt,CENTRE,RENFREW,27,4.5,2,1,53
7228204,17157219,Entire home/apt,NORTH,HUNTINGTON HILLS,11,5,10,5,182
18602953,86624543,Entire home/apt,CENTRE,DOWNTOWN WEST END,3,4.5,5,1,63
17108538,112875564,Entire home/apt,CENTRE,BANKVIEW,14,5,4,1,57
18112587,70252291,Private room,SOUTH,DEER RUN,28,5,4,2,61
13812366,99088,Entire home/apt,CENTRE,TUXEDO PARK,3,5,4,2,121
3638550,3297275,Private room,NORTHEAST,MARLBOROUGH,18,5,2,1,29
15874511,102922818,Entire home/apt,EAST,ALBERT PARK/RADISSON HEIGHTS,7,5,8,4,182
4355437,22506106,Entire home/apt,CENTRE,CRESCENT HEIGHTS,159,4.5,4,2,57
15954159,102922818,Private room,EAST,ALBERT PARK/RADISSON HEIGHTS,46,5,2,1,29
17666765,62197399,Entire home/apt,CENTRE,MISSION,4,4.5,4,2,61
5568225,28867964,Entire home/apt,CENTRE,ERLTON,7,5,2,1,122
13651225,70341055,Private room,NORTHWEST,ROCKY RIDGE,8,5,2,1,44
16693178,110551379,Entire home/apt,NORTHEAST,FALCONRIDGE,65,5,8,2,40
2216877,3730464,Private room,CENTRE,PARKDALE,27,4.5,2,1,25
2079672,10625737,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,31,4.5,6,2,90
14911989,93665112,Entire home/apt,SOUTH,CHAPARRAL,13,5,8,4,122
13363264,75838336,Private room,CENTRE,BANFF TRAIL,4,4.5,2,1,47
18581786,41090436,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,12,5,3,2,80
10310109,53049133,Entire home/apt,CENTRE,CHINATOWN,102,4.5,3,0,73
8258815,43548063,Private room,NORTHWEST,UNIVERSITY HEIGHTS,44,5,1,1,37
17555601,59339527,Private room,NORTHWEST,VARSITY,10,5,5,2,32
15099178,30914325,Entire home/apt,CENTRE,RAMSAY,18,5,4,1,74
9661645,12668950,Private room,CENTRE,CRESCENT HEIGHTS,77,5,2,1,29
11165451,58081693,Entire home/apt,SOUTH,BRIDLEWOOD,36,5,8,4,215
15844015,102628729,Entire home/apt,CENTRE,SUNALTA,3,4.5,2,1,48
3747881,4621979,Private room,NORTH,PANORAMA HILLS,8,4.5,2,1,57
19414361,129305279,Entire home/apt,SOUTH,SOMERSET,7,4.5,3,1,49
10711535,55357308,Private room,CENTRE,BELTLINE,148,5,2,1,36
801900,4221145,Private room,SOUTH,ACADIA,8,4,2,1,31
17255719,112005306,Private room,NORTH,HUNTINGTON HILLS,17,5,2,1,19
13139301,73224310,Entire home/apt,NORTH,NORTH HAVEN,5,4.5,2,0,44
